"SYMBOL","UNDERLYING ASSET","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME","VALUE (₹ Crores)","NAV","52W H","52W L","30D %CHNG","365 D","365 D % CHNG","30 D"
"LICNETFSEN","SENSEX","861.74","869.86","853.96","857.46","869.50","-","12.04","1.40","321","0.03","855.78","989.00","780.00",3.98,"16-Apr-2024","9.04","18-Mar-2025"
"PSUBANKADD","DSP Nifty PSU Bank ETF","64.08","65.43","64.07","64.07","64.97","-","0.90","1.40","22,695","0.15","64.18","82.90","55.47",10.79,"16-Apr-2024","-6.52","18-Mar-2025"
"HDFCNIF100","HDFC NIFTY 100 ETF","24.71","25.01","24.40","24.48","24.82","-","0.34","1.39","1,20,176","0.30","24.54","29.10","22.23",4.41,"16-Apr-2024","6.97","18-Mar-2025"
"AONETOTAL","Nifty Total Market Index","10.79","11.37","10.74","10.79","10.94","-","0.15","1.39","3,64,411","0.40","10.77","11.57","9.63","-","-","-","-"
"NIF100BEES","Nifty 100 TRI","251.79","256.55","250.54","252.01","255.51","-","3.50","1.39","20,624","0.52","252.42","289.98","220.00",4.45,"16-Apr-2024","6.83","18-Mar-2025"
"HDFCLOWVOL","HDFC NIFTY100 Low Volatility 30 ETF","18.78","19.35","18.78","19.09","19.35","-","0.26","1.36","12,102","0.02","19.15","22.25","17.00",4.32,"16-Apr-2024","7.27","18-Mar-2025"
"HDFCQUAL","HDFC NIFTY100 Quality 30 ETF","53.94","54.94","53.04","53.94","54.67","-","0.73","1.35","29,858","0.16","53.64","66.28","49.53",3.6,"16-Apr-2024","5.43","18-Mar-2025"
"PSUBNKBEES","Nifty PSU Bank","71.47","72.89","69.98","71.39","72.35","-","0.96","1.34","78,06,883","56.42","71.27","90.30","61.54",10.66,"16-Apr-2024","-6.16","18-Mar-2025"
"OILIETF","Nifty Oil & Gas Index","10.62","10.80","10.57","10.64","10.78","-","0.14","1.32","19,11,114","2.05","10.66","14.00","9.42",5.9,"-","-","18-Mar-2025"
"HDFCGROWTH","HDFC NIFTY Growth Sectors 15 ETF","109.76","111.00","108.30","109.52","110.97","-","1.45","1.32","26,328","0.29","109.20","147.00","103.11",-0.51,"16-Apr-2024","1.80","18-Mar-2025"
"METALIETF","Nifty Metal Index","8.48","8.55","8.34","8.44","8.55","-","0.11","1.30","44,70,261","3.79","8.46","10.67","7.35",-5.97,"-","-","18-Mar-2025"
"UTINEXT50","Nifty Next 50","67.31","68.72","67.31","67.83","68.70","-","0.87","1.28","1,57,971","1.08","67.98","83.00","59.90",5.79,"16-Apr-2024","3.69","18-Mar-2025"
"NV20BEES","Nifty50 Value20 TRI","140.21","142.95","140.20","140.92","142.69","-","1.77","1.26","21,078","0.30","141.06","175.00","130.00",0.54,"16-Apr-2024","3.90","18-Mar-2025"
"HEALTHIETF","Nifty Healthcare Index","138.10","140.13","138.09","138.10","139.82","-","1.72","1.25","56,643","0.79","138.16","157.70","116.01",1.71,"16-Apr-2024","16.35","18-Mar-2025"
"NIFITETF","UTI Nifty IT ETF","340.78","350.00","332.40","340.78","345.00","-","4.22","1.24","4,157","0.14","339.67","469.99","321.68",-8.92,"16-Apr-2024","1.12","18-Mar-2025"
"LICNMID100","LIC MF Nifty Midcap 100 ETF","52.65","53.32","52.19","52.16","52.80","-","0.64","1.23","5,904","0.03","52.40","65.00","46.03",6.49,"16-Apr-2024","6.58","18-Mar-2025"
"EQUAL50ADD","NIFTY 50 Equal Weight Index","302.00","307.78","300.06","302.39","306.10","-","3.71","1.23","15,602","0.48","302.99","351.28","280.00",4.63,"16-Apr-2024","7.36","18-Mar-2025"
"BSLNIFTY","Nifty 50","26.93","27.45","26.72","26.94","27.27","-","0.33","1.22","4,54,068","1.23","26.98","30.45","20.37",4.26,"16-Apr-2024","8.73","18-Mar-2025"
"PHARMABEES","Nifty Pharma TRI","21.60","21.90","21.21","21.28","21.54","-","0.26","1.22","52,51,997","11.28","21.31","24.65","17.00",0.33,"16-Apr-2024","13.67","18-Mar-2025"
"CONSUMBEES","Nifty India Consumption TRI","122.46","124.60","122.00","122.82","124.32","-","1.50","1.22","1,60,208","1.98","122.65","148.05","107.90",7.11,"16-Apr-2024","11.81","18-Mar-2025"
"MOMOMENTUM","Nifty 200 Momentum 30 Total Return Index","56.48","56.95","55.63","56.27","56.95","-","0.68","1.21","1,14,270","0.64","56.19","78.50","51.21",1.97,"16-Apr-2024","-9.94","18-Mar-2025"
"MOCAPITAL","Nifty Capital Market Total Return Index","35.47","35.86","35.36","35.30","35.72","-","0.42","1.19","69,819","0.25","35.37","35.86","29.20","-","-","-","-"
"LOWVOL","Mirae Asset Nifty 100 Low Volatility 30 ETF","190.85","194.27","190.69","191.99","194.25","-","2.26","1.18","417","0.01","191.79","227.00","159.00",4.84,"16-Apr-2024","8.33","18-Mar-2025"
"HEALTHY","Nifty Healthcare TRI","13.99","14.05","13.83","13.89","14.05","-","0.16","1.15","1,21,833","0.17","13.86","15.75","11.60",1.45,"16-Apr-2024","15.49","18-Mar-2025"
"HDFCMOMENT","HDFC NIFTY200 Momentum 30 ETF","27.51","28.34","27.51","27.94","28.26","-","0.32","1.15","1,89,650","0.53","27.88","39.50","25.50",1.51,"16-Apr-2024","-9.82","18-Mar-2025"
"NIFMID150","UTI Nifty Midcap 150 Exchange Traded Fund (ETF)","193.71","195.91","193.69","193.71","195.91","-","2.20","1.14","1,565","0.03","193.99","232.80","174.82",5.49,"16-Apr-2024","5.10","18-Mar-2025"
"SETFNN50","Nifty Next 50","674.99","682.54","670.27","674.24","681.96","-","7.72","1.14","31,537","2.14","675.25","825.60","585.51",5.61,"16-Apr-2024","3.96","18-Mar-2025"
"ABSLNN50ET","Nifty Next 50","66.01","67.14","65.05","66.26","67.01","-","0.75","1.13","34,452","0.23","66.37","82.05","58.37",5.35,"16-Apr-2024","4.07","18-Mar-2025"
"LICMFGOLD","Gold","8,725.10","8,725.10","8,602.15","8,563.45","8,659.85","-","96.40","1.13","2,833","2.46","-","8,725.10","6,266.00",7.12,"16-Apr-2024","29.34","18-Mar-2025"
"VAL30IETF","Nifty200 Value 30 Index","12.48","12.62","12.40","12.48","12.62","-","0.14","1.12","1,27,782","0.16","12.51","14.14","10.93",5.8,"-","-","18-Mar-2025"
"CONS","Kotak Nifty India Consumption ETF","112.64","114.61","112.33","112.64","113.89","-","1.25","1.11","11,766","0.13","112.95","155.70","99.50",7.03,"16-Apr-2024","11.74","18-Mar-2025"
"EVINDIA","Nifty EV and New Age Automotive Total Return Index","26.30","26.51","25.85","26.07","26.35","-","0.28","1.07","3,80,106","1.00","26.04","36.00","23.83",-0.42,"-","-","18-Mar-2025"
"AUTOBEES","Nifty Auto TRI","216.20","218.86","214.01","216.21","218.50","-","2.29","1.06","1,57,448","3.42","215.79","285.00","197.07",1.01,"16-Apr-2024","-3.13","18-Mar-2025"
"FINIETF","ICICI Prudential Nifty Financial Services Ex-Bank ETF","27.54","27.85","27.33","27.54","27.83","-","0.29","1.05","3,28,024","0.90","27.51","30.00","21.76",8.9,"16-Apr-2024","19.69","18-Mar-2025"
"HEALTHADD","DSP Nifty Healthcare ETF","138.97","138.98","136.59","135.70","137.09","-","1.39","1.02","1,181","0.02","136.09","151.58","115.00",1.46,"16-Apr-2024","15.57","18-Mar-2025"
"COMMOIETF","ICICI Prudential Nifty Commodities ETF","83.99","85.37","83.67","84.44","85.30","-","0.86","1.02","64,220","0.54","84.61","101.33","75.61",3.21,"16-Apr-2024","-1.31","18-Mar-2025"
